algoritmo,instancia,vertices,arestas,otimo,resultado,tabu,iteracoes_min,iteracoes_max,iteracoes_s_mud_mel,hc_div,populacao,geracoes,cf_alfa,cf_beta,cf_evaporacao,inicio,fim
tabucol,huck,74,301,0,46,3,20,50,8,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:44:55.307970,2023-02-24 20:44:55.322894
tabucol,huck,74,301,0,44,3,20,50,10,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:44:55.823487,2023-02-24 20:44:55.836720
tabucol,huck,74,301,0,45,3,20,50,12,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:44:56.337311,2023-02-24 20:44:56.351455
tabucol,huck,74,301,0,43,3,20,50,14,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:44:56.852052,2023-02-24 20:44:56.865382
tabucol,huck,74,301,0,47,5,20,50,8,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:44:57.365949,2023-02-24 20:44:57.372977
tabucol,huck,74,301,0,44,5,20,50,10,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:44:57.873563,2023-02-24 20:44:57.888674
tabucol,huck,74,301,0,44,5,20,50,12,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:44:58.389257,2023-02-24 20:44:58.403524
tabucol,huck,74,301,0,40,5,20,50,14,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:44:58.904117,2023-02-24 20:44:58.918238
tabucol,huck,74,301,0,42,7,20,50,8,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:44:59.418825,2023-02-24 20:44:59.432809
tabucol,huck,74,301,0,46,7,20,50,10,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:44:59.933390,2023-02-24 20:44:59.947174
tabucol,huck,74,301,0,35,7,20,50,12,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:45:00.447758,2023-02-24 20:45:00.461599
tabucol,huck,74,301,0,45,7,20,50,14,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:45:00.962185,2023-02-24 20:45:00.975846
tabucol,huck,74,301,0,42,9,20,50,8,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:45:01.476438,2023-02-24 20:45:01.489937
tabucol,huck,74,301,0,45,9,20,50,10,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:45:01.990528,2023-02-24 20:45:02.004140
tabucol,huck,74,301,0,45,9,20,50,12,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:45:02.504734,2023-02-24 20:45:02.518099
tabucol,huck,74,301,0,42,9,20,50,14,0.0,0,0,0.0,0.0,0.0,2023-02-24 20:45:03.018691,2023-02-24 20:45:03.032266
evolucionario,huck,74,301,0,14,0,0,0,0,0.0,10,10,0.0,0.0,0.0,2023-02-24 20:45:32.411421,2023-02-24 20:45:32.804382
evolucionario,huck,74,301,0,14,0,0,0,0,0.0,10,15,0.0,0.0,0.0,2023-02-24 20:45:33.304944,2023-02-24 20:45:33.715037
evolucionario,huck,74,301,0,15,0,0,0,0,0.0,10,20,0.0,0.0,0.0,2023-02-24 20:45:34.215607,2023-02-24 20:45:34.609379
evolucionario,huck,74,301,0,15,0,0,0,0,0.0,10,25,0.0,0.0,0.0,2023-02-24 20:45:35.109941,2023-02-24 20:45:35.520821
evolucionario,huck,74,301,0,11,0,0,0,0,0.0,15,10,0.0,0.0,0.0,2023-02-24 20:45:36.021388,2023-02-24 20:45:36.624329
evolucionario,huck,74,301,0,14,0,0,0,0,0.0,15,15,0.0,0.0,0.0,2023-02-24 20:45:37.124896,2023-02-24 20:45:37.697596
evolucionario,huck,74,301,0,11,0,0,0,0,0.0,15,20,0.0,0.0,0.0,2023-02-24 20:45:38.198167,2023-02-24 20:45:38.822851
evolucionario,huck,74,301,0,14,0,0,0,0,0.0,15,25,0.0,0.0,0.0,2023-02-24 20:45:39.323422,2023-02-24 20:45:39.891769
