algoritmo,instancia,vertices,arestas,otimo,resultado,inicio,fim
guloso,anna,138,493,0,11,2023-02-22 23:21:25.531310,2023-02-22 23:21:26.555160
dsatur,anna,138,493,0,11,2023-02-22 23:21:26.555180,2023-02-22 23:21:27.174465
rlf,anna,138,493,0,12,2023-02-22 23:21:27.174469,2023-02-22 23:21:27.175066
guloso,anna,138,493,0,12,2023-02-23 01:02:12.498937,2023-02-23 01:02:14.100725
dsatur,anna,138,493,0,11,2023-02-23 01:02:14.100731,2023-02-23 01:02:14.928728
rlf,anna,138,493,0,11,2023-02-23 01:02:14.928734,2023-02-23 01:02:14.929456
guloso,anna,138,493,0,11,2023-02-23 02:45:49.769721,2023-02-23 02:45:51.209800
dsatur,anna,138,493,0,11,2023-02-23 02:45:51.209806,2023-02-23 02:45:51.903996
rlf,anna,138,493,0,12,2023-02-23 02:45:51.904001,2023-02-23 02:45:51.904737
guloso,anna,138,493,0,11,2023-02-23 04:29:46.481373,2023-02-23 04:29:47.992041
dsatur,anna,138,493,0,11,2023-02-23 04:29:47.992047,2023-02-23 04:29:48.778413
rlf,anna,138,493,0,12,2023-02-23 04:29:48.778420,2023-02-23 04:29:48.779128
guloso,anna,138,493,0,11,2023-02-23 06:14:51.516878,2023-02-23 06:14:52.913065
dsatur,anna,138,493,0,11,2023-02-23 06:14:52.913070,2023-02-23 06:14:53.955996
rlf,anna,138,493,0,11,2023-02-23 06:14:53.956000,2023-02-23 06:14:53.956713
guloso,anna,138,493,0,11,2023-02-23 07:58:49.745483,2023-02-23 07:58:50.950495
dsatur,anna,138,493,0,11,2023-02-23 07:58:50.950500,2023-02-23 07:58:51.853037
rlf,anna,138,493,0,12,2023-02-23 07:58:51.853043,2023-02-23 07:58:51.853749
guloso,anna,138,493,0,11,2023-02-23 09:42:35.367087,2023-02-23 09:42:36.918869
dsatur,anna,138,493,0,11,2023-02-23 09:42:36.918875,2023-02-23 09:42:37.937614
rlf,anna,138,493,0,12,2023-02-23 09:42:37.937623,2023-02-23 09:42:37.938347
guloso,anna,138,493,0,12,2023-02-23 11:26:32.581373,2023-02-23 11:26:34.104136
dsatur,anna,138,493,0,11,2023-02-23 11:26:34.104141,2023-02-23 11:26:35.099720
rlf,anna,138,493,0,11,2023-02-23 11:26:35.099724,2023-02-23 11:26:35.100451
guloso,anna,138,493,0,11,2023-02-23 13:11:11.125023,2023-02-23 13:11:12.343635
