,algoritmo,instancia,vertices,arestas,otimo,resultado
0,guloso,queen12_12,144,2596,0,18
1,dsatur,queen12_12,144,2596,0,20
2,rlf,queen12_12,144,2596,0,17
0,guloso,queen9_9,81,1056,0,14
1,dsatur,queen9_9,81,1056,0,14
2,rlf,queen9_9,81,1056,0,14
0,guloso,le450_25a,450,8260,0,27
1,dsatur,le450_25a,450,8260,0,25
2,rlf,le450_25a,450,8260,0,30
0,guloso,le450_5b,450,5734,0,13
1,dsatur,le450_5b,450,5734,0,11
2,rlf,le450_5b,450,5734,0,13
0,guloso,myciel5,47,236,0,6
1,dsatur,myciel5,47,236,0,6
2,rlf,myciel5,47,236,0,6
0,guloso,queen8_12,96,1368,0,15
1,dsatur,queen8_12,96,1368,0,14
2,rlf,queen8_12,96,1368,0,16
0,guloso,le450_25c,450,17343,0,36
1,dsatur,le450_25c,450,17343,0,31
2,rlf,le450_25c,450,17343,0,38
0,guloso,miles500,128,1170,0,22
1,dsatur,miles500,128,1170,0,20
2,rlf,miles500,128,1170,0,23
0,guloso,mulsol.i.2,188,3885,0,31
1,dsatur,mulsol.i.2,188,3885,0,31
2,rlf,mulsol.i.2,188,3885,0,31
0,guloso,queen12_12,144,2596,0,18
1,dsatur,queen12_12,144,2596,0,20
2,rlf,queen12_12,144,2596,0,18
0,guloso,queen9_9,81,1056,0,13
1,dsatur,queen9_9,81,1056,0,15
2,rlf,queen9_9,81,1056,0,13
0,guloso,queen12_12,144,2596,0,18
1,dsatur,queen12_12,144,2596,0,21
2,rlf,queen12_12,144,2596,0,18
0,guloso,queen9_9,81,1056,0,13
1,dsatur,queen9_9,81,1056,0,15
2,rlf,queen9_9,81,1056,0,13
0,guloso,le450_25a,450,8260,0,29
1,dsatur,le450_25a,450,8260,0,25
2,rlf,le450_25a,450,8260,0,29
0,guloso,le450_5b,450,5734,0,12
1,dsatur,le450_5b,450,5734,0,12
2,rlf,le450_5b,450,5734,0,13
0,guloso,myciel5,47,236,0,6
1,dsatur,myciel5,47,236,0,6
2,rlf,myciel5,47,236,0,6
0,guloso,queen8_12,96,1368,0,16
1,dsatur,queen8_12,96,1368,0,17
2,rlf,queen8_12,96,1368,0,15
0,guloso,le450_25c,450,17343,0,35
1,dsatur,le450_25c,450,17343,0,31
2,rlf,le450_25c,450,17343,0,37
0,guloso,miles500,128,1170,0,23
1,dsatur,miles500,128,1170,0,20
2,rlf,miles500,128,1170,0,22
0,guloso,mulsol.i.2,188,3885,0,31
1,dsatur,mulsol.i.2,188,3885,0,31
2,rlf,mulsol.i.2,188,3885,0,31
0,guloso,queen12_12,144,2596,0,18
1,dsatur,queen12_12,144,2596,0,19
2,rlf,queen12_12,144,2596,0,18
0,guloso,queen9_9,81,1056,0,13
1,dsatur,queen9_9,81,1056,0,14
2,rlf,queen9_9,81,1056,0,14
0,guloso,queen12_12,144,2596,0,18
1,dsatur,queen12_12,144,2596,0,19
2,rlf,queen12_12,144,2596,0,17
0,guloso,queen9_9,81,1056,0,15
1,dsatur,queen9_9,81,1056,0,14
2,rlf,queen9_9,81,1056,0,13
0,guloso,le450_25a,450,8260,0,28
1,dsatur,le450_25a,450,8260,0,25
2,rlf,le450_25a,450,8260,0,30
0,guloso,le450_5b,450,5734,0,14
1,dsatur,le450_5b,450,5734,0,11
2,rlf,le450_5b,450,5734,0,14
0,guloso,myciel5,47,236,0,6
1,dsatur,myciel5,47,236,0,6
2,rlf,myciel5,47,236,0,6
